,id,const,row_max,row_min,row_ever,row_fangcha,colum_max,colum_min,colum_ever,colum_fangcha,neg_max,neg_min,neg_ever,neg_fangcha,dianli_max,dianli_min,dianli_ever,dianli_fangcha,sur_row,sur_colum,sur_neg,sur_dianli,center_elec_num,sur_elec_num,plus1,plus2,plus3,plus4,plus5,plus6,plus7,plus8,plus9,plus10,plus11,plus12,is_daoti,bulk_gap,gap,efm
0,665,1,5,5,5.0,0.0,14,14,14.0,0.0,1.96,1.96,1.96,0.0,708.6,708.6,708.6,0.0,4,16,2.55,941.0,4,6,3.8416,1844.36,1844.36,3.8416,3.8416,885481.0,25,3401663.81,3401663.81,9221.8,9221.8,3401663.81,1.0,0.0,0.713774,0.561976
1,1170,1,5,5,5.0,0.0,14,14,14.0,0.0,1.96,1.96,1.96,0.0,708.6,708.6,708.6,0.0,3,16,2.58,999.6,4,6,3.8416,1959.2160000000001,1959.2160000000001,3.8416,3.8416,999200.16,25,3838527.335,3838527.335,9796.08,9796.08,3838527.335,1.0,0.0,1.5266899999999999,0.704702
2,1186,1,5,5,5.0,0.0,4,4,4.0,0.0,1.33,1.33,1.33,0.0,640.1,640.1,640.1,0.0,3,16,2.58,999.6,4,6,1.7689,1329.4679999999998,1329.4679999999998,1.7689,1.7689,999200.16,25,1767485.1630000002,1767485.1630000002,6647.34,6647.34,1767485.1630000002,1.0,0.0,0.606054,0.305316
3,2928,1,4,3,3.75,0.1875,16,15,15.75,0.1875,2.55,2.0,2.46,0.0243,1011.8,941.0,958.7,939.87,4,8,1.83,762.5,6,8,6.273,1944.375,1875.75,6.5025,6.0516,581406.25,9,3780594.1410000003,3518438.063,5833.125,5627.25,3647161.4060000004,1.0,0.0,0.22994699999999998,2.513271
4,3342,1,4,3,3.5,0.25,15,12,13.5,2.25,2.19,1.65,1.92,0.0729,1011.8,906.4,959.1,2777.29,3,16,2.58,999.6,12,6,4.2048,2189.124,1919.2320000000002,4.7961,3.6864,999200.16,9,4792263.887,3683451.47,6567.371999999999,5757.696,4201436.833000001,1.0,0.0,2.323505,0.328484
5,3779,1,5,3,4.5,0.75,16,14,15.5,0.75,2.1,1.9,2.05,0.0075,869.3,786.5,848.6,1285.47,4,6,1.66,652.9,6,6,4.305,1371.09,1338.445,4.41,4.2025,426278.41,9,1879887.7880000002,1791435.0180000002,4113.27,4015.335,1835128.555,1.0,0.0,0.05942000000000001,2.215861
6,5328,1,5,3,4.0,1.0,15,12,13.5,2.25,2.19,1.69,1.94,0.0625,1011.8,867.8,939.8,5184.0,3,16,2.58,999.6,12,6,4.2486,2189.124,1939.224,4.7961,3.7636,999200.16,9,4792263.887,3760589.722,6567.371999999999,5817.672,4245201.8,1.0,0.0,1.824159,0.5651079999999999
7,6462,1,5,3,3.75,0.6875,15,5,11.5,16.75,2.19,1.63,1.985,0.053275,1011.8,650.9,851.375,26538.18188,3,16,2.58,999.6,11,6,4.34715,2189.124,1984.2060000000001,4.7961,3.940225,999200.16,9,4792263.887,3937073.45,6567.371999999999,5952.618,4343672.976,1.0,0.0,0.00404,0.165383
8,8616,1,5,3,3.75,0.6875,15,3,11.0,24.0,2.19,1.36,1.9175,0.114869,1011.8,633.1,846.925,28381.816880000002,3,16,2.58,999.6,11,6,4.199325,2189.124,1916.733,4.7961,3.67680625,999200.16,9,4792263.887,3673865.393,6567.371999999999,5750.1990000000005,4195966.212,1.0,0.0,2.083528,0.605657
9,9330,1,5,3,4.0,1.0,15,12,13.5,2.25,2.19,1.69,1.94,0.0625,1011.8,867.8,939.8,5184.0,3,16,2.58,999.6,12,6,4.2486,2189.124,1939.224,4.7961,3.7636,999200.16,9,4792263.887,3760589.722,6567.371999999999,5817.672,4245201.8,1.0,0.0,1.894149,0.6449090000000001
10,9984,1,5,5,5.0,0.0,14,14,14.0,0.0,1.96,1.96,1.96,0.0,708.6,708.6,708.6,0.0,3,16,2.58,999.6,4,6,3.8416,1959.2160000000001,1959.2160000000001,3.8416,3.8416,999200.16,25,3838527.335,3838527.335,9796.08,9796.08,3838527.335,1.0,0.0,1.52606,0.705172
11,22661,1,5,3,4.0,1.0,15,11,13.5,2.75,2.19,1.78,2.0225,0.030869,1011.8,558.3,828.225,37427.94188,3,16,2.58,999.6,3,6,4.429275,2189.124,2021.691,4.7961,4.09050625,999200.16,9,4792263.887,4087234.499,6567.371999999999,6065.073,4425732.289,1.0,0.0,1.343906,0.658216
12,22853,1,5,5,5.0,0.0,6,6,6.0,0.0,2.16,2.0,2.16,0.0,684.3,684.3,684.3,0.0,3,17,3.16,1251.2,6,7,4.6656,2702.592,2702.592,4.6656,4.6656,1565501.44,25,7304003.517999999,7304003.517999999,13512.96,13512.96,7304003.517999999,1.0,0.0,0.101969,8.071363999999999
